2015/06/26 08:00:46 [info] [borrow.log] 借出号:54 借出人ID:22 借出人姓名:qq 电话123 资产名称 资产ID3000E20000006306019626100F75 借出时间2015-06-26 归还时间2015-06-26
2015/07/09 09:45:51 [info] [borrow.log] 借出号:33 借出人ID:222 借出人姓名:sss 电话:11111111111 资产名称:1111 资产ID:E2003412013BFsdfds00670F75071F 借出时间:2015-07-09 归还时间:2015-07-09
2015/07/09 09:47:43 [info] [borrow.log] 借出号:34 借出人ID:11 借出人姓名:sss 电话:11111111111 资产名称:1111 资产ID:E2003412013BFsdfds00670F75071F 借出时间:2015-07-09 归还时间:2015-07-09
2015/07/10 01:18:29 [info] [borrow.log] 借出号:35 借出人ID:222 借出人姓名:aaa 电话:11111111111 资产名称:1111 资产ID:E2003412013BFsdfds00670F75071F 借出时间:2015-07-09 归还时间:2015-07-10
2015/07/10 01:20:45 [info] [borrow.log] 借出号:36 借出人ID:222 借出人姓名:sss 电话:11111111111 资产名称:1111 资产ID:E2003412013BFsdfds00670F75071F 借出时间:2015-07-10 归还时间:2015-07-10
2015/07/10 01:35:12 [info] [borrow.log] 借出号:37 借出人ID:111 借出人姓名:sssss 电话:11111111111 资产名称:1111 资产ID:E2003412013BFsdfds00670F75071F 借出时间:2015-07-10 归还时间:2015-07-10
2015/07/10 01:36:24 [info] [borrow.log] 借出号:39 借出人ID:12 借出人姓名:sss 电话:11111111111 资产名称:1111 资产ID:E2003412013BFsdfds00670F75071F 借出时间:2015-07-10 归还时间:2015-07-10
2015/07/13 06:55:58 [info] [borrow.log] 借出号:29 借出人ID:11 借出人姓名:张三 电话:18815421121 资产名称:光机电一体化实训考核装置 资产ID:E20034120122KJ000090D1A21B01 借出时间:2015-07-13 归还时间:2015-07-13
2015/07/15 08:05:21 [info] [borrow.log] 借出号:4 借出人ID:111 借出人姓名:1aa 电话:11111111111 资产名称:jj 资产ID:jjj 借出时间:2015-07-15 归还时间:2015-07-15
2015/07/15 08:20:19 [info] [borrow.log] 借出号:1 借出人ID:2011003893 借出人姓名:小王 电话:18233256648 资产名称:光机电一体化实训考核装置 资产ID:E20034120122KJ000090D1A21B01 借出时间:2015-07-14 归还时间:2015-07-15
2015/07/31 08:26:32 [info] [borrow.log] 借出号: 借出人ID: 借出人姓名: 电话: 资产名称: 资产ID: 借出时间: 归还时间:
2015/07/31 09:09:52 [info] [borrow.log] 借出号:30 借出人ID:111 借出人姓名:11 电话:11111111111 资产名称:光机电一体化实训考核装置 资产ID:E2003412013EFF00006727F31420 借出时间:2015-07-31 归还时间:2015-07-31
2015/07/31 09:10:25 [info] [borrow.log] 借出号:31 借出人ID:231 借出人姓名:11 电话:11111111111 资产名称:光机电一体化实训考核装置 资产ID:E2003412013EFF00006727F31420 借出时间:2015-07-31 归还时间:2015-07-31
2015/07/31 09:28:40 [info] [borrow.log] 借出号:32 借出人ID:2 借出人姓名:2 电话:11111111111 资产名称:光机电一体化实训考核装置 资产ID:E2003412013EFF00006727F31420 借出时间:2015-07-31 归还时间:2015-07-31
